iter	Logloss
0	0.6869575024
1	0.6820130825
2	0.6758238316
3	0.6693153381
4	0.6631663322
5	0.6565063477
6	0.6508045673
7	0.645942688
8	0.639481163
9	0.6343086243
10	0.6288974285
11	0.6231908798
12	0.6181011677
13	0.6126955986
14	0.6078053951
15	0.602140379
16	0.5969524384
17	0.5914422035
18	0.5859407425
19	0.5805197716
20	0.5752339363
21	0.5700866699
22	0.56460886
23	0.5596299171
24	0.5545582771
25	0.5487944603
26	0.5439631939
27	0.5381581306
28	0.533254385
29	0.52873106
30	0.5241820335
31	0.5196527481
32	0.5149059772
33	0.5110383987
34	0.5069971561
35	0.5021646976
36	0.4974064827
37	0.4932042122
38	0.4889343262
39	0.4846924782
40	0.4806762218
41	0.4761292934
42	0.471817112
43	0.4680127144
44	0.4639643669
45	0.4598186016
46	0.4555457115
47	0.4517386913
48	0.4482451916
49	0.4445955276
50	0.4407481194
51	0.4369619846
52	0.4327133179
53	0.4298703194
54	0.4259800911
55	0.4221203804
56	0.418262434
57	0.4149108887
58	0.4111393452
59	0.4079809189
60	0.4049088001
61	0.4014559746
62	0.3984199047
63	0.3948775291
64	0.391950655
65	0.3887932301
66	0.3848247528
67	0.3818790913
68	0.3788715124
69	0.3762992859
70	0.3733713388
71	0.3703874588
72	0.3670739651
73	0.3641505718
74	0.3611735821
75	0.3582074165
76	0.3558784485
77	0.3536837339
78	0.3510153294
79	0.3480503559
80	0.3455106974
81	0.3427140236
82	0.3399354935
83	0.336664176
84	0.3340830564
85	0.3313156128
86	0.328558898
87	0.3257130384
88	0.3231604815
89	0.3204886198
90	0.318086338
91	0.3156805038
92	0.313262248
93	0.3105410814
94	0.3079332113
95	0.305512166
96	0.30299263
97	0.300504446
98	0.2984054804
99	0.2959797382
100	0.2935801983
101	0.2915979385
102	0.2894703865
103	0.2870949984
104	0.2848595142
105	0.2829502821
106	0.2808008671
107	0.278321743
108	0.2760890722
109	0.273769474
110	0.2713572979
111	0.2694162369
112	0.2676087618
113	0.2655961037
114	0.2637585402
115	0.2618370056
116	0.2599032402
117	0.2579847097
118	0.2560814381
119	0.2537735224
120	0.2516780376
121	0.2496603727
122	0.2472796917
123	0.2456698179
124	0.2436724424
125	0.241844511
126	0.240128231
127	0.2376331329
128	0.2356499195
129	0.2339528561
130	0.2319942474
131	0.2302678823
132	0.2284158707
133	0.2265978575
134	0.2248991966
135	0.223290205
136	0.2217185974
137	0.2201263428
138	0.2184824467
139	0.216999197
140	0.2155908346
141	0.2141006947
142	0.2123083115
143	0.2107731819
144	0.2089403629
145	0.2077211142
146	0.2062055111
147	0.2047174931
148	0.2034007549
149	0.2019830465
150	0.200710392
151	0.1992761493
152	0.1978625298
153	0.1964356899
154	0.195117712
155	0.1937687874
156	0.1923806787
157	0.1910324335
158	0.1896593571
159	0.188237977
160	0.18678509
161	0.1855559826
162	0.1841090441
163	0.1828316808
164	0.1816964626
165	0.1803920984
166	0.1790880442
167	0.1777632952
168	0.1766808987
169	0.1755374312
170	0.1746883035
171	0.1737272859
172	0.1724093914
173	0.1713528872
174	0.1703987956
175	0.1691594124
176	0.1681728244
177	0.1671370745
178	0.1660641193
179	0.1650606155
180	0.1638905287
181	0.1628298044
182	0.1616270542
183	0.160518837
184	0.159403193
185	0.1585468292
186	0.1575686216
187	0.1565490127
188	0.1557324886
189	0.1548790216
190	0.1537411571
191	0.1528360963
192	0.1520002007
193	0.1509621739
194	0.1500372171
195	0.1491060853
196	0.1479195356
197	0.1470717192
198	0.1461299896
199	0.1452467203
200	0.1442741394
201	0.1433611393
202	0.1424249649
203	0.141461277
204	0.1405465961
205	0.1395090342
206	0.1386356354
207	0.1376961946
208	0.1369526148
209	0.1360831141
210	0.1353422046
211	0.1344904661
212	0.1336915851
213	0.1328299761
214	0.1318851233
215	0.1307713866
216	0.1300000191
217	0.1292872906
218	0.1284988403
219	0.1276766539
220	0.1269191742
221	0.1261080265
222	0.1253805399
223	0.1246808887
224	0.1239341736
225	0.1233144164
226	0.1225962639
227	0.1218436718
228	0.1210587621
229	0.1203357935
230	0.1195970178
231	0.1189057946
232	0.1183015108
233	0.1177927494
234	0.1170679331
235	0.1165295124
236	0.1160372019
237	0.1153979182
238	0.1147005558
239	0.1140586138
240	0.1133854628
241	0.1126819849
242	0.1119744301
243	0.1113440514
